Ticker,SmartScore,Market Capitalization,Sector,Industry
KHC,5,29743847987.000004,Consumer Non-Durables,Food: Major Diversified
KGS,8,2951585392.9999995,Industrial Services,Oilfield Services/Equipment
KGC,10,33614011501.831608,Non-Energy Minerals,Precious Metals
KFY,3,3576732273.0000005,Commercial Services,Personnel Services
KEYS,4,27911173696.000004,Electronic Technology,Electronic Equipment/Instruments
KEY/PL,5,18399537037.0,Finance,Major Banks
KEY/PK,5,18399537037.0,Finance,Major Banks
KEY/PJ,5,18399537037.0,Finance,Major Banks
KEY/PI,5,18399537037.0,Finance,Major Banks
KEY,5,18399537037.0,Finance,Major Banks
KEX,6,4729049935.0,Transportation,Marine Shipping
KEP,7,18116482284.88746,Utilities,Electric Utilities
KEN,5,2549625292.0,Utilities,Electric Utilities
KDP,2,37655825659.0,Consumer Non-Durables,Beverages: Non-Alcoholic
KDK,-1,1475028278.0000002,Technology Services,Packaged Software
KD,7,6356459084.0,Technology Services,Data Processing Services
KC,7,3958358418.32832,Technology Services,Data Processing Services
KBR,7,5638109470.0,Technology Services,Information Technology Services
KBH,1,3971370562.0,Consumer Durables,Homebuilding
KB,5,29065664052.02608,Finance,Regional Banks
KARO,9,1365805511.9999998,Technology Services,Packaged Software
KAR,8,2800037954.0,Technology Services,Packaged Software
KALU,7,1287118110.0,Non-Energy Minerals,Aluminum
KAI,2,3497907632.0,Producer Manufacturing,Industrial Machinery
K,6,28828728553.0,Consumer Non-Durables,Food: Specialty/Candy
JXN/PA,3,6588330506.0,Finance,Life/Health Insurance
JXN,2,6588330506.0,Finance,Life/Health Insurance
JSM,,1209081406.0,Finance,Finance/Rental/Leasing
JPM/PM,10,820911481783.0,Finance,Major Banks
JPM/PL,10,820911481783.0,Finance,Major Banks
JPM/PK,10,820911481783.0,Finance,Major Banks
JPM/PJ,10,820911481783.0,Finance,Major Banks
JPM/PD,10,820911481783.0,Finance,Major Banks
JPM/PC,10,820911481783.0,Finance,Major Banks
JPM,10,820911481783.0,Finance,Major Banks
JPC,,2907296130.0,Miscellaneous,Investment Trusts/Mutual Funds
JOYY,10,2922550414.0,Technology Services,Data Processing Services
JOE,3,2817813712.0,Finance,Real Estate Development
JOBY,7,14245757535.999998,Electronic Technology,Aerospace & Defense
JNJ,8,462690051405.0,Health Technology,Pharmaceuticals: Major
JMIA,5,1454858375.0,Technology Services,Internet Software/Services
JLL,10,14132873048.000002,Finance,Real Estate Development
JKS,4,1200959014.0,Electronic Technology,Semiconductors
JKHY,7,11113414588.000002,Technology Services,Packaged Software
JJSF,2,1797843562.9999998,Consumer Non-Durables,Food: Specialty/Candy
JHX,8,13018695285.07756,Non-Energy Minerals,Construction Materials
JHG,8,6582293478.0,Finance,Investment Managers
JFR,,1045636800.0,Miscellaneous,Investment Trusts/Mutual Funds
JEF,8,10066478676.000002,Finance,Investment Banks/Brokers
JD,4,47508336535.54944,Retail Trade,Internet Retail
JCI,6,71570137043.0,Producer Manufacturing,Industrial Machinery
JCAP,7,1031896258.0,Finance,Financial Conglomerates
JBTM,6,6986899913.999999,Producer Manufacturing,Industrial Machinery
JBS,8,13431039422.999998,Consumer Non-Durables,Food: Meat/Fish/Dairy
JBLU,1,1734679318.0,Transportation,Airlines
JBL,9,22509052497.0,Producer Manufacturing,Industrial Machinery
JBI,7,1377805758.0,Producer Manufacturing,Building Products
JBHT,2,16414254323.000002,Transportation,Trucking
JBGS,2,1253621283.0,Finance,Real Estate Investment Trusts
JAZZ,7,8143445197.0,Health Technology,Pharmaceuticals: Major
JANX,4,1634555026.0,Health Technology,Biotechnology
JAMF,6,1328367004.0,Technology Services,Packaged Software
J,8,18656057515.0,Technology Services,Data Processing Services
IX,4,27138874071.65625,Finance,Finance/Rental/Leasing
IVZ,3,10167973744.0,Finance,Investment Managers
IVT,5,2159010011.0,Finance,Real Estate Investment Trusts
ITW,7,71983010712.00002,Producer Manufacturing,Auto Parts: OEM
ITUB,7,69480646770.1232,Finance,Major Banks
ITT,9,13335660095.0,Producer Manufacturing,Auto Parts: OEM
ITRI,5,6137632593.0,Electronic Technology,Electronic Equipment/Instruments
ITGR,2,3612790399.000001,Health Technology,Medical Specialties
IT,5,17887279288.0,Technology Services,Internet Software/Services
ISRG,8,155801055316.0,Health Technology,Medical Specialties
IRTC,6,5815767586.000001,Health Technology,Medical Specialties
IRT,2,3852923058.0,Finance,Real Estate Investment Trusts
IRON,9,2585168776.0,Health Technology,Biotechnology
IRM,9,31244886937.0,Finance,Real Estate Investment Trusts
IREN,9,16764474512.0,Technology Services,Data Processing Services
IRDM,9,1986452549.0,Communications,Specialty Telecommunications
IR,7,30130874165.0,Producer Manufacturing,Industrial Machinery
IQV,10,34977500000.0,Health Technology,Biotechnology
IQ,6,1983453631.0,Technology Services,Internet Software/Services
IPX,7,1834748779.6014,Non-Energy Minerals,Precious Metals
