Ticker,SmartScore,Market Capitalization,Sector,Industry
KKR,10,107630929642.0,Finance,Investment Managers
KIM/PN,6,13835075502.0,Finance,Real Estate Investment Trusts
KIM/PM,6,13835075502.0,Finance,Real Estate Investment Trusts
KIM/PL,6,13835075502.0,Finance,Real Estate Investment Trusts
KIM,6,13835075502.0,Finance,Real Estate Investment Trusts
KHC,5,29544043682.000004,Consumer Non-Durables,Food: Major Diversified
KGS,7,2892640342.0000005,Industrial Services,Oilfield Services/Equipment
KGC,8,31091130823.0338,Non-Energy Minerals,Precious Metals
KFY,4,3423226674.9999995,Commercial Services,Personnel Services
KEYS,5,30653997929.0,Electronic Technology,Electronic Equipment/Instruments
KEY/PL,5,19257245639.0,Finance,Major Banks
KEY/PK,5,19257245639.0,Finance,Major Banks
KEY/PJ,5,19257245639.0,Finance,Major Banks
KEY/PI,5,19257245639.0,Finance,Major Banks
KEY,5,19257245639.0,Finance,Major Banks
KEX,8,5827583900.0,Transportation,Marine Shipping
KEP,6,21372909126.404003,Utilities,Electric Utilities
KEN,7,2984036902.0,Utilities,Electric Utilities
KDP,6,36681744507.00001,Consumer Non-Durables,Beverages: Non-Alcoholic
KDK,8,1180566170.0,Technology Services,Packaged Software
KD,7,5848961657.0,Technology Services,Data Processing Services
KC,6,3567491904.18594,Technology Services,Data Processing Services
KBR,8,5366581298.0,Technology Services,Information Technology Services
KBH,1,3905958337.000001,Consumer Durables,Homebuilding
KBDC,-1,1006101482.5,Finance,Investment Managers
KB,4,32863259364.990337,Finance,Regional Banks
KARO,8,1393294567.0,Technology Services,Packaged Software
KAR,9,2703335641.0000005,Technology Services,Packaged Software
KALU,8,1516581369.0000002,Non-Energy Minerals,Aluminum
KAI,2,3087991176.9999995,Producer Manufacturing,Industrial Machinery
K,8,28979308004.0,Consumer Non-Durables,Food: Specialty/Candy
JXN/PA,3,6404799784.0,Finance,Life/Health Insurance
JXN,6,6404799783.999999,Finance,Life/Health Insurance
JSM,,1189581798.0,Finance,Finance/Rental/Leasing
JPM/PM,9,842485737740.0,Finance,Major Banks
JPM/PL,9,842485737740.0,Finance,Major Banks
JPM/PK,9,842485737740.0,Finance,Major Banks
JPM/PJ,9,842485737740.0,Finance,Major Banks
JPM/PD,9,842485737740.0,Finance,Major Banks
JPM/PC,9,842485737740.0,Finance,Major Banks
JPM,9,842485737740.0,Finance,Major Banks
JPC,,2900144110.0,Miscellaneous,Investment Trusts/Mutual Funds
JOYY,9,3001649167.0,Technology Services,Data Processing Services
JOE,4,3377477640.0,Finance,Real Estate Development
JOBY,7,13485273539.0,Electronic Technology,Aerospace & Defense
JNJ,9,470414833496.0,Health Technology,Pharmaceuticals: Major
JMIA,7,1233200610.0,Technology Services,Internet Software/Services
JLL,10,14247115035.000002,Finance,Real Estate Development
JKS,2,1319250505.0,Electronic Technology,Semiconductors
JKHY,6,11961769614.000002,Technology Services,Packaged Software
JJSF,4,1607449322.0,Consumer Non-Durables,Food: Specialty/Candy
JHX,7,9770805635.5896,Non-Energy Minerals,Construction Materials
JHG,7,6758342934.000001,Finance,Investment Managers
JFR,,1068426320.0,Miscellaneous,Investment Trusts/Mutual Funds
JEF,6,11529006061.999998,Finance,Investment Banks/Brokers
JD,5,46132532641.84337,Retail Trade,Internet Retail
JCI,7,78657127532.0,Producer Manufacturing,Industrial Machinery
JCAP,7,1210773917.0,Finance,Financial Conglomerates
JBTM,7,7147622548.999999,Producer Manufacturing,Industrial Machinery
JBS,5,13863618929.0,Consumer Non-Durables,Food: Meat/Fish/Dairy
JBLU,6,1571230390.0,Transportation,Airlines
JBL,7,21561911466.0,Producer Manufacturing,Industrial Machinery
JBHT,4,15835762831.000002,Transportation,Trucking
JBGS,1,1057569832.0,Finance,Real Estate Investment Trusts
JAZZ,7,8611025229.0,Health Technology,Pharmaceuticals: Major
JANX,5,1651658755.0,Health Technology,Biotechnology
JAMF,4,1714573018.0000002,Technology Services,Packaged Software
J,9,18312986610.0,Technology Services,Data Processing Services
IX,5,28363653491.98833,Finance,Finance/Rental/Leasing
IVZ,5,10673327430.999998,Finance,Investment Managers
IVT,4,2180328530.0,Finance,Real Estate Investment Trusts
ITW,5,71158628549.0,Producer Manufacturing,Auto Parts: OEM
ITUB,8,77203479827.04482,Finance,Major Banks
ITT,9,14410500000.0,Producer Manufacturing,Auto Parts: OEM
ITRI,5,4555862581.0,Electronic Technology,Electronic Equipment/Instruments
ITGR,3,2384364958.0,Health Technology,Medical Specialties
IT,4,16589997124.0,Technology Services,Internet Software/Services
ISRG,9,200471072180.0,Health Technology,Medical Specialties
IRTC,7,5428925581.000001,Health Technology,Medical Specialties
IRT,2,4033599057.0,Finance,Real Estate Investment Trusts
IRS,4,1194382725.37854,Finance,Real Estate Development
IRON,9,3285773980.0,Health Technology,Biotechnology
IRMD,6,1074937692.0,Health Technology,Medical Specialties
IRM,8,27008014163.0,Finance,Real Estate Investment Trusts
IREN,9,13190873143.0,Technology Services,Data Processing Services
IRDM,7,1748205612.0,Communications,Specialty Telecommunications
IR,5,30107412234.0,Producer Manufacturing,Industrial Machinery
IQV,8,38070566202.0,Health Technology,Biotechnology
IQ,4,2031595664.0,Technology Services,Internet Software/Services
IPX,5,1228690710.33972,Non-Energy Minerals,Precious Metals
IPGP,8,3440306302.9999995,Electronic Technology,Semiconductors
IPG,2,9108657405.0,Commercial Services,Advertising/Marketing Services
IPAR,6,2805022493.9999995,Consumer Non-Durables,Household/Personal Care
IP,7,20007372004.0,Process Industries,Pulp & Paper
IOT,4,22211134434.0,Technology Services,Packaged Software
IOSP,1,1852619736.0,Process Industries,Chemicals: Major Diversified
IONS,10,11312291206.000002,Health Technology,Pharmaceuticals: Major
IONQ,7,16084294474.0,Electronic Technology,Computer Processing Hardware
INVX,5,1408194725.0000002,Industrial Services,Oilfield Services/Equipment
INVH,2,17323961416.0,Finance,Real Estate Investment Trusts
INVA,6,1659873319.0000002,Health Technology,Pharmaceuticals: Major
INTU,3,181253909704.0,Technology Services,Packaged Software
INTR,7,4053818940.0,Finance,Major Banks
INTC,9,171290699272.0,Electronic Technology,Semiconductors
INTA,5,3463851608.0000005,Technology Services,Packaged Software
INSW,9,2647052937.0,Transportation,Marine Shipping
INSP,4,2521517196.0,Health Technology,Medical Specialties
INSM,9,40726702885.0,Health Technology,Pharmaceuticals: Major
INOD,9,1809701962.0,Technology Services,Data Processing Services
INGR,4,6842195464.999999,Consumer Non-Durables,Food: Specialty/Candy
INGM,6,4807236124.0,Technology Services,Information Technology Services
ING,9,77741819785.91087,Finance,Major Banks
INFY,2,72116872235.86627,Technology Services,Information Technology Services
INFA,5,8725728850.0,Technology Services,Packaged Software
INDV,9,3724391741.0,Health Technology,Pharmaceuticals: Major
INDB,7,3415795561.0,Finance,Regional Banks
INCY,8,20694377383.0,Health Technology,Pharmaceuticals: Major
INBX,5,1080902168.0000002,Health Technology,Biotechnology
IMVT,4,3999810476.000001,Health Technology,Biotechnology
IMTX,9,1213070649.9999998,Health Technology,Biotechnology
IMOS,5,1012335646.177398,Electronic Technology,Semiconductors
IMO,5,47763249488.22941,Energy Minerals,Integrated Oil
IMNM,6,1514136640.0,Health Technology,Biotechnology
IMKTA,9,1363397192.0,Retail Trade,Food Retail
IMCR,10,1785051479.0,Health Technology,Biotechnology
IMAX,5,1888880638.0,Consumer Durables,Electronics/Appliances
ILMN,9,18325304413.000004,Health Technology,Medical Specialties
IIPR/PA,5,1403670773.0,Finance,Real Estate Investment Trusts
IIPR,5,1403670773.0,Finance,Real Estate Investment Trusts
IHS,9,2144025242.0,Industrial Services,Engineering & Construction
IHG,4,19581284572.252,Consumer Services,Hotels/Resorts/Cruise lines
IGIC,6,1031271827.0,Finance,Financial Conglomerates
IFS,8,4646770122.719298,Finance,Regional Banks
IFF,9,17268578611.000004,Consumer Non-Durables,Food: Specialty/Candy
IEX,7,12504346244.0,Producer Manufacturing,Industrial Machinery
IESC,4,7115045277.000001,Industrial Services,Engineering & Construction
IEP,6,5269830435.000001,Energy Minerals,Oil Refining/Marketing
IE,5,1875503590.0,Non-Energy Minerals,Other Metals/Minerals
IDYA,7,2789544972.0,Health Technology,Pharmaceuticals: Major
IDXX,10,56014106594.99999,Health Technology,Medical Specialties
IDT,2,1298875842.0,Communications,Major Telecommunications
IDCC,10,8904525983.0,Technology Services,Packaged Software
IDA,10,6981021386.0,Utilities,Electric Utilities
