Ticker,SmartScore,Market Capitalization,Sector,Industry
ZWS,3,5675148595.0,Producer Manufacturing,Industrial Machinery
ZTS,9,67935078424.0,Health Technology,Pharmaceuticals: Major
ZTO,4,15124441487.7042,Transportation,Air Freight/Couriers
ZS,9,32513890243.000004,Technology Services,Data Processing Services
ZM,6,23042104499.000004,Technology Services,Packaged Software
ZLAB,-1,3681525790.5022497,Health Technology,Biotechnology
ZK,7,5155729931.0,Consumer Durables,Motor Vehicles
ZION,1,6677239719.0,Finance,Major Banks
ZIM,9,1698450855.9999998,Transportation,Marine Shipping
ZI,2,2954365533.9999995,Technology Services,Packaged Software
ZGN,9,3134145880.0,Consumer Non-Durables,Apparel/Footwear
ZG,-1,15833010762.0,Technology Services,Internet Software/Services
ZETA,3,2985794281.0,Technology Services,Packaged Software
ZD,6,1333427023.0,Technology Services,Internet Software/Services
ZBRA,7,12483062125.0,Electronic Technology,Computer Processing Hardware
ZBH,7,20080894371.0,Health Technology,Medical Specialties
Z,2,15833010762.0,Technology Services,Internet Software/Services
YUMC,-1,17403608311.0,Consumer Services,Restaurants
YUM,6,41101030510.0,Consumer Services,Restaurants
YPF,10,13154581440.19304,Energy Minerals,Integrated Oil
YOU,9,3428630868.0,Technology Services,Packaged Software
YMM,10,11693371999.0,Technology Services,Packaged Software
YETI,7,2404091870.0,Producer Manufacturing,Miscellaneous Manufacturing
YELP,-1,2284615423.0000005,Technology Services,Internet Software/Services
YALA,9,1190270326.0,Technology Services,Internet Software/Services
XYZ,3,35620101741.0,Finance,Regional Banks
XYL,5,28133632612.0,Producer Manufacturing,Industrial Machinery
XRAY,7,2732312467.0,Health Technology,Medical Specialties
XPO,7,12216880711.0,Transportation,Trucking
XPEV,-1,19401714789.910347,Consumer Durables,Motor Vehicles
XP,6,8404762522.999999,Finance,Investment Banks/Brokers
XOM,3,469856616358.0,Energy Minerals,Integrated Oil
XMTR,7,1250491576.0,Producer Manufacturing,Metal Fabrication
XHR,5,1055951652.0,Finance,Real Estate Investment Trusts
XHG,3,6411176277.0,Finance,Real Estate Development
XENE,-1,2923935636.0,Health Technology,Pharmaceuticals: Major
XEL,9,40487782725.0,Utilities,Electric Utilities
X,7,9567892923.999998,Non-Energy Minerals,Steel
WYNN,4,8661130803.0,Consumer Services,Casinos/Gaming
WY,9,18509147919.0,Finance,Real Estate Investment Trusts
WWW,10,1043728203.0,Consumer Non-Durables,Apparel/Footwear
WWD,-1,10747700154.0,Producer Manufacturing,Industrial Machinery
WVE,6,1042170090.0,Health Technology,Biotechnology
WULF,5,1166203286.0,Technology Services,Data Processing Services
WU,8,3364747645.0,Finance,Regional Banks
WTW,4,30515874724.000004,Finance,Insurance Brokers/Services
WTTR,4,1061715349.0,Utilities,Water Utilities
WTS,-1,6994794383.0,Producer Manufacturing,Industrial Machinery
WTRG,8,11122914140.999998,Utilities,Water Utilities
WTM,5,4560900096.0,Finance,Multi-Line Insurance
WTFCP,,7452578784.0,Finance,Regional Banks
WTFCM,,7452578784.0,Finance,Regional Banks
WTFC,7,7452578784.0,Finance,Regional Banks
WT,-1,1271963992.0,Miscellaneous,Investment Trusts/Mutual Funds
WST,3,15224126217.000002,Health Technology,Medical Specialties
WSR,10,1341769612.0,Finance,Real Estate Investment Trusts
WSO,3,18597317113.0,Producer Manufacturing,Building Products
WSM,3,18699336179.0,Retail Trade,Specialty Stores
WSFS,2,3053776842.0,Finance,Savings Banks
WSC,-1,4554868368.999999,Finance,Finance/Rental/Leasing
WSBCP,,2855756769.0,Finance,Regional Banks
WSBC,7,2855756769.0,Finance,Regional Banks
WS,9,1306569090.0,Non-Energy Minerals,Steel
WRD,8,1952619377.0,Technology Services,Packaged Software
WRBY,8,1914403592.0,Retail Trade,Specialty Stores
WRB/PH,-1,27215698151.0,Finance,Multi-Line Insurance
WRB/PG,10,27215698151.0,Finance,Multi-Line Insurance
WRB/PF,10,27215698151.0,Finance,Multi-Line Insurance
WRB/PE,10,27215698151.0,Finance,Multi-Line Insurance
WRB,10,27215698151.0,Finance,Multi-Line Insurance
WPP,4,8047714252.0896,Commercial Services,Advertising/Marketing Services
WPM,-1,37278678473.587456,Non-Energy Minerals,Precious Metals
WPC,9,13294017812.0,Finance,Real Estate Investment Trusts
WOR,7,2469405176.0,Producer Manufacturing,Industrial Machinery
WNS,9,2772107867.0,Commercial Services,Miscellaneous Commercial Services
WMT,8,768334837204.0,Retail Trade,Specialty Stores
WMS,7,8620871891.999998,Producer Manufacturing,Miscellaneous Manufacturing
WMK,-1,2260007109.0,Retail Trade,Food Retail
WMG,8,15204940119.0,Commercial Services,Commercial Printing/Forms
WMB,8,72765080747.00002,Utilities,Gas Distributors
WM,8,91518557883.00002,Industrial Services,Environmental Services
WLYB,,2274660963.381223,Consumer Services,Publishing: Books/Magazines
WLY,4,2352747138.0,Consumer Services,Publishing: Books/Magazines
WLK,-1,12174334045.0,Process Industries,Chemicals: Specialty
WKC,1,1395467688.0,Distribution Services,Wholesale Distributors
WK,7,4049898185.0,Technology Services,Information Technology Services
WIX,6,9198052275.0,Technology Services,Information Technology Services
WIT,4,29791660349.04291,Technology Services,Information Technology Services
WING,2,6071389570.0,Consumer Services,Restaurants
WINA,-1,1279823873.0,Retail Trade,Apparel/Footwear Retail
WHR,4,4373669337.0,Consumer Durables,Electronics/Appliances
WHD,5,3089386132.0,Industrial Services,Oilfield Services/Equipment
WH,8,6579094267.0,Consumer Services,Hotels/Resorts/Cruise lines
WGS,7,3121076401.0,Health Services,Medical/Nursing Services
WFRD,9,3006726537.0,Industrial Services,Oilfield Services/Equipment
WFG,-1,5787948161.914063,Non-Energy Minerals,Forest Products
WFC/PZ,6,226883840640.0,Finance,Major Banks
WFC/PY,6,226883840640.0,Finance,Major Banks
WFC/PL,6,226883840640.0,Finance,Major Banks
WFC/PD,6,226883840640.0,Finance,Major Banks
WFC/PC,4,226883840640.0,Finance,Major Banks
WFC/PA,-1,226883840640.0,Finance,Major Banks
WFC,6,226883840640.0,Finance,Major Banks
WF,5,8876910966.430359,Finance,Major Banks
WEX,7,4453838491.0,Commercial Services,Miscellaneous Commercial Services
WES,6,14936348217.0,Industrial Services,Oil & Gas Pipelines
WERN,6,1785911157.0000002,Transportation,Trucking
WEN,-1,2517684080.0,Consumer Services,Restaurants
WELL,8,96264499695.0,Finance,Real Estate Investment Trusts
WEC,8,34752002931.0,Utilities,Electric Utilities
WDS,4,24310377488.53674,Energy Minerals,Oil & Gas Production
WDFC,5,3042424301.9999995,Process Industries,Industrial Specialties
WDC,10,13972085971.0,Electronic Technology,Computer Peripherals
WDAY,-1,63007418700.99999,Technology Services,Information Technology Services
WD,3,2605017882.9999995,Finance,Finance/Rental/Leasing
WCN,10,50825361400.79389,Industrial Services,Environmental Services
WCC/PA,4,7852909293.0,Distribution Services,Wholesale Distributors
WCC,4,7852909293.0,Distribution Services,Wholesale Distributors
WBTN,8,1176529713.0,Technology Services,Internet Software/Services
WBS/PG,-1,8061624489.0,Finance,Savings Banks
WBS/PF,6,8061624489.0,Finance,Savings Banks
WBS,6,8061624488.999999,Finance,Savings Banks
WBD,8,21027601318.0,Consumer Services,Cable/Satellite TV
WBA,6,9538058299.0,Retail Trade,Drugstore Chains
WB,6,1984459827.3924,Technology Services,Internet Software/Services
WAY,-1,6417820393.0,Technology Services,Packaged Software
WAT,4,20270217193.0,Health Technology,Medical Specialties
WAL/PA,8,7820164232.0,Finance,Regional Banks
WAL,8,7820164231.999999,Finance,Regional Banks
WAFDP,,2304045042.0,Finance,Major Banks
WAFD,6,2304045042.0000005,Finance,Major Banks
WABC,-1,1293822799.0,Finance,Regional Banks
WAB,7,31723399430.000004,Producer Manufacturing,Trucks/Construction/Farm Machinery
W,2,3733561031.000001,Retail Trade,Specialty Stores
VZ,8,180658205795.0,Communications,Wireless Telecommunications
VYX,3,1181656315.0,Electronic Technology,Electronic Equipment/Instruments
VVX,4,1561419236.0,Commercial Services,Miscellaneous Commercial Services
VVV,-1,4425639441.0,Consumer Services,Other Consumer Services
VTRS,7,9585320108.0,Health Technology,Pharmaceuticals: Major
VTR,10,30729624165.0,Finance,Real Estate Investment Trusts
VTMX,7,2354768750.839089,Finance,Real Estate Development
VSTS,6,1161991759.0,Consumer Non-Durables,Apparel/Footwear
VST,7,42257714441.99999,Utilities,Electric Utilities
VSH,-1,1753839732.0,Electronic Technology,Electronic Production Equipment
VSEC,10,2350096970.0,Industrial Services,Engineering & Construction
VSCO,5,1464961054.0,Retail Trade,Apparel/Footwear Retail
VSAT,3,1119470368.0,Electronic Technology,Telecommunications Equipment
VRTX,5,126604602113.00002,Health Technology,Pharmaceuticals: Major
VRTS,2,1087005177.0000002,Finance,Investment Managers
VRT,-1,31967102634.0,Electronic Technology,Electronic Production Equipment
VRSN,9,23775738727.0,Technology Services,Internet Software/Services
VRSK,7,40337633191.00001,Technology Services,Data Processing Services
VRRM,6,3521627221.0000005,Transportation,Other Transportation
VRNT,3,1116004529.0,Technology Services,Information Technology Services
VRNS,2,4661674640.999999,Technology Services,Packaged Software
VRNA,-1,5482074233.0,Health Technology,Pharmaceuticals: Major
VRN,10,3738199531.916274,Energy Minerals,Integrated Oil
VRE,6,1474475180.0,Finance,Real Estate Investment Trusts
VRDN,1,1104936022.0000002,Health Technology,Pharmaceuticals: Major
VOYA/PB,2,5683180499.0,Finance,Life/Health Insurance
VOYA,2,5683180499.0,Finance,Life/Health Insurance
VOD,-1,23284288092.9912,Communications,Wireless Telecommunications
VNT,5,4640937462.0,Transportation,Other Transportation
VNOM,10,8985347798.000002,Energy Minerals,Integrated Oil
VNO/PO,6,6812240188.0,Finance,Real Estate Investment Trusts
VNO/PN,6,6812240188.0,Finance,Real Estate Investment Trusts
VNO/PM,6,6812240188.0,Finance,Real Estate Investment Trusts
VNO/PL,-1,6812240188.0,Finance,Real Estate Investment Trusts
VNO,6,6812240188.0,Finance,Real Estate Investment Trusts
VNET,9,1446956732.0,Technology Services,Data Processing Services
VMI,8,5951022970.0,Producer Manufacturing,Metal Fabrication
VMC,6,32960564953.0,Non-Energy Minerals,Construction Materials
VLYPP,,4889045381.0,Finance,Major Banks
VLYPO,-1,4889045381.0,Finance,Major Banks
VLYPN,,4889045381.0,Finance,Major Banks
VLY,7,4889045381.0,Finance,Major Banks
VLTO,4,22756269132.000004,Producer Manufacturing,Industrial Machinery
VLO,9,35647260931.99999,Energy Minerals,Oil Refining/Marketing
VKTX,6,2881329496.0,Health Technology,Pharmaceuticals: Major
VIV,-1,15589692009.099998,Communications,Specialty Telecommunications
VITL,6,1495563996.9999998,Process Industries,Agricultural Commodities/Milling
VIST,5,4729031262.712887,Energy Minerals,Oil & Gas Production
VIRT,7,5970046596.0,Finance,Investment Banks/Brokers
VIPS,7,6701152249.0,Retail Trade,Internet Retail
VIK,2,17832828952.0,Consumer Services,Hotels/Resorts/Cruise lines
VICR,-1,2289395300.0,Electronic Technology,Electronic Components
VICI,8,34300562658.000004,Finance,Real Estate Investment Trusts
VIAV,8,2288015947.0,Technology Services,Information Technology Services
VG,-1,21074836703.18,Industrial Services,Oil & Gas Pipelines
VFS,6,7764469901.999999,Consumer Durables,Motor Vehicles
VFC,6,4495676609.0,Consumer Non-Durables,Apparel/Footwear
VERX,-1,6254573296.999999,Technology Services,Packaged Software
VERA,5,1496722156.0,Health Technology,Biotechnology
VEON,10,3125090245.0,Communications,Wireless Telecommunications
VEEV,10,37047517481.0,Technology Services,Packaged Software
VECO,5,1114118806.0,Electronic Technology,Electronic Production Equipment
VCYT,7,2505144886.0,Health Technology,Biotechnology
VCTR,-1,3910116833.000001,Finance,Investment Managers
VCEL,6,2060082670.0,Health Technology,Pharmaceuticals: Major
VC,4,2112819152.0,Producer Manufacturing,Auto Parts: OEM
VBTX,6,1259876612.0,Finance,Regional Banks
VALE,9,41460242122.5324,Non-Energy Minerals,Steel
VAL,2,2300025795.0,Industrial Services,Contract Drilling
VAC,-1,1927948765.0,Consumer Services,Other Consumer Services
V,7,655835254225.0,Finance,Regional Banks
UZF,,5759483857.0,Communications,Wireless Telecommunications
UZE,,5759483857.0,Communications,Wireless Telecommunications
UZD,,5759483857.0,Communications,Wireless Telecommunications
UWMC,7,7240335180.0,Finance,Finance/Rental/Leasing
UVV,-1,1425597302.0,Distribution Services,Wholesale Distributors
UUUU,3,1011259185.0,Non-Energy Minerals,Other Metals/Minerals
UTZ,5,1938741420.0,Consumer Non-Durables,Food: Specialty/Candy
UTI,10,1513708462.9999998,Commercial Services,Miscellaneous Commercial Services
UTHR,9,13312867287.0,Health Technology,Pharmaceuticals: Major
UTG,,2818493258.0,Miscellaneous,Investment Trusts/Mutual Funds
UTF,-1,2411163010.0,Miscellaneous,Investment Trusts/Mutual Funds
USPH,4,1058556928.0,Health Services,Medical/Nursing Services
USM,8,5759483857.000001,Communications,Wireless Telecommunications
USLM,1,2702948243.0,Non-Energy Minerals,Construction Materials
USFD,7,14898339593.000002,Distribution Services,Food Distributors
USB/PS,3,62398319258.0,Finance,Major Banks
USB/PR,-1,62398319258.0,Finance,Major Banks
USB/PQ,3,62398319258.0,Finance,Major Banks
USB/PP,3,62398319258.0,Finance,Major Banks
USB/PH,3,62398319258.0,Finance,Major Banks
USB/PA,3,62398319258.0,Finance,Major Banks
USB,3,62398319258.00001,Finance,Major Banks
USAC,-1,3006391013.0,Industrial Services,Oilfield Services/Equipment
USA,,1771864380.0,Miscellaneous,Investment Trusts/Mutual Funds
URI,9,42077776738.0,Finance,Finance/Rental/Leasing
URBN,4,4710874940.0,Retail Trade,Apparel/Footwear Retail
UPWK,9,1836832368.0,Commercial Services,Personnel Services
UPST,2,4440740981.0,Technology Services,Internet Software/Services
UPS,-1,83882660951.0,Transportation,Air Freight/Couriers
UPBD,7,1189816305.0000002,Finance,Finance/Rental/Leasing
UNP,7,129123099247.99998,Transportation,Railroads
UNMA,,13981443159.0,Finance,Multi-Line Insurance
UNM,7,13981443159.0,Finance,Multi-Line Insurance
UNIT,4,1172300364.0,Finance,Real Estate Investment Trusts
UNH,-1,388066710800.0,Health Services,Managed Health Care
UNFI,10,1560312552.0000002,Distribution Services,Food Distributors
UNF,6,3150205935.0000005,Consumer Services,Other Consumer Services
UMH/PD,9,1438136021.0,Finance,Real Estate Investment Trusts
