Ticker,SmartScore,Market Capitalization,Sector,Industry
KEX,7,5911029229.0,Transportation,Marine Shipping
KEP,8,11999079597.655895,Utilities,Electric Utilities
KEN,5,1621872541.0,Utilities,Electric Utilities
KDP,8,46368737130.0,Consumer Non-Durables,Beverages: Non-Alcoholic
KD,9,8523599921.999999,Technology Services,Data Processing Services
KC,7,3951473069.464,Technology Services,Data Processing Services
KBR,6,7112131248.0,Technology Services,Information Technology Services
KBH,7,3899433804.0,Consumer Durables,Homebuilding
KBDC,-1,1115233398.0,Finance,Investment Managers
KB,5,24707249737.426968,Finance,Regional Banks
KARO,-1,1371365109.0,Technology Services,Packaged Software
KAR,7,2337742480.0,Technology Services,Packaged Software
KALU,7,1105120858.0,Non-Energy Minerals,Aluminum
KAI,3,3541825233.0000005,Producer Manufacturing,Industrial Machinery
K,7,28636350033.0,Consumer Non-Durables,Food: Specialty/Candy
JXN/PA,1,6060843974.0,Finance,Life/Health Insurance
JXN,-1,6060843974.0,Finance,Life/Health Insurance
JWN,7,4077178758.0,Retail Trade,Apparel/Footwear Retail
JSM,,1311918317.0,Finance,Finance/Rental/Leasing
JPM/PM,9,704417081852.0,Finance,Major Banks
JPM/PL,9,704417081852.0,Finance,Major Banks
JPM/PK,9,704417081852.0,Finance,Major Banks
JPM/PJ,-1,704417081852.0,Finance,Major Banks
JPM/PD,9,704417081852.0,Finance,Major Banks
JPM/PC,9,704417081852.0,Finance,Major Banks
JPM,9,704417081851.9999,Finance,Major Banks
JPC,,2518911000.0,Miscellaneous,Investment Trusts/Mutual Funds
JOYY,10,2231233239.0,Technology Services,Data Processing Services
JOE,-1,2587982024.0,Finance,Real Estate Development
JOBY,8,5260553118.0,Electronic Technology,Aerospace & Defense
JNPR,4,12134258461.0,Technology Services,Information Technology Services
JNJ,8,375116894997.0,Health Technology,Pharmaceuticals: Major
JLL,3,10813148616.0,Finance,Real Estate Development
JKHY,5,13079300636.0,Technology Services,Packaged Software
JJSF,-1,2255801892.0,Consumer Non-Durables,Food: Specialty/Candy
JHX,5,10177404588.951792,Non-Energy Minerals,Construction Materials
JHG,7,5744557810.999999,Finance,Investment Managers
