Ticker,SmartScore,Market Capitalization,Sector,Industry
KIM/PN,3,14376966315.0,Finance,Real Estate Investment Trusts
KIM/PM,5,14376966315.0,Finance,Real Estate Investment Trusts
KIM/PL,5,14376966315.0,Finance,Real Estate Investment Trusts
KIM,5,14376966315.0,Finance,Real Estate Investment Trusts
KHC,6,29637326132.0,Consumer Non-Durables,Food: Major Diversified
KGS,5,3047804532.0000005,Industrial Services,Oilfield Services/Equipment
KGC,9,29592028833.945377,Non-Energy Minerals,Precious Metals
KFY,5,3689896990.0,Commercial Services,Personnel Services
KEYS,5,29404604902.0,Electronic Technology,Electronic Equipment/Instruments
KEY/PL,5,19934658836.0,Finance,Major Banks
KEY/PK,5,19934658836.0,Finance,Major Banks
KEY/PJ,4,19934658836.0,Finance,Major Banks
KEY/PI,5,19934658836.0,Finance,Major Banks
KEY,5,19934658836.0,Finance,Major Banks
KEX,7,4559976005.999999,Transportation,Marine Shipping
KEP,6,15930016925.9946,Utilities,Electric Utilities
KEN,6,2573092940.9999995,Utilities,Electric Utilities
KDP,2,35115553094.0,Consumer Non-Durables,Beverages: Non-Alcoholic
KDK,-1,1770396355.9999998,Technology Services,Packaged Software
KD,7,6878844500.999999,Technology Services,Data Processing Services
KC,7,4389776207.99535,Technology Services,Data Processing Services
KBR,7,5831371914.0,Technology Services,Information Technology Services
KBH,3,3919010231.000001,Consumer Durables,Homebuilding
KB,6,29730532732.61684,Finance,Regional Banks
KARO,9,1661390269.0,Technology Services,Packaged Software
KAR,9,2847874674.0000005,Technology Services,Packaged Software
KALU,6,1254924013.0,Non-Energy Minerals,Aluminum
KAI,2,3372241902.9999995,Producer Manufacturing,Industrial Machinery
K,3,28807869250.000004,Consumer Non-Durables,Food: Specialty/Candy
JXN/PA,5,6964448448.0,Finance,Life/Health Insurance
JXN,5,6964448447.999999,Finance,Life/Health Insurance
JSM,,1224990357.0,Finance,Finance/Rental/Leasing
JPM/PM,10,840132233028.0,Finance,Major Banks
JPM/PL,10,840132233028.0,Finance,Major Banks
JPM/PK,10,840132233028.0,Finance,Major Banks
JPM/PJ,10,840132233028.0,Finance,Major Banks
JPM/PD,10,840132233028.0,Finance,Major Banks
JPM/PC,7,840132233028.0,Finance,Major Banks
JPM,10,840132233028.0,Finance,Major Banks
JPC,,2935904210.0,Miscellaneous,Investment Trusts/Mutual Funds
JOYY,9,2951313526.0,Technology Services,Data Processing Services
JOE,4,2743691267.9999995,Finance,Real Estate Development
JOBY,7,15194292478.0,Electronic Technology,Aerospace & Defense
JNJ,9,460185395152.0,Health Technology,Pharmaceuticals: Major
JMIA,6,1577321200.0,Technology Services,Internet Software/Services
JLL,10,13641529930.000002,Finance,Real Estate Development
JKS,2,1231534380.0,Electronic Technology,Semiconductors
JKHY,7,10881155543.000002,Technology Services,Packaged Software
JJSF,4,1825877122.0,Consumer Non-Durables,Food: Specialty/Candy
JHX,8,12388561689.25376,Non-Energy Minerals,Construction Materials
JHG,7,6850576121.000001,Finance,Investment Managers
JFR,,1088534720.0,Miscellaneous,Investment Trusts/Mutual Funds
JEF,9,10934913713.0,Finance,Investment Banks/Brokers
JD,6,50260430526.72093,Retail Trade,Internet Retail
JCI,6,70516576090.00002,Producer Manufacturing,Industrial Machinery
JCAP,9,1042384212.0,Finance,Financial Conglomerates
JBTM,6,7329904040.000001,Producer Manufacturing,Industrial Machinery
JBS,8,13336083976.0,Consumer Non-Durables,Food: Meat/Fish/Dairy
JBLU,2,1672856336.9999998,Transportation,Airlines
JBL,9,21969238901.0,Producer Manufacturing,Industrial Machinery
JBI,8,1344471779.0,Producer Manufacturing,Building Products
JBHT,5,13805512593.0,Transportation,Trucking
JBGS,1,1241893743.0,Finance,Real Estate Investment Trusts
JAZZ,8,8380014185.000001,Health Technology,Pharmaceuticals: Major
JANX,5,1553428194.0,Health Technology,Biotechnology
JAMF,7,1384158429.0,Technology Services,Packaged Software
J,9,18580748956.0,Technology Services,Data Processing Services
IX,4,27155426153.11401,Finance,Finance/Rental/Leasing
IVZ,5,10658534068.0,Finance,Investment Managers
IVT,5,2136504233.0,Finance,Real Estate Investment Trusts
ITW,7,72376533043.0,Producer Manufacturing,Auto Parts: OEM
ITUB,9,70074601385.63501,Finance,Major Banks
ITT,10,13494779572.0,Producer Manufacturing,Auto Parts: OEM
ITRI,7,5788347608.0,Electronic Technology,Electronic Equipment/Instruments
ITGR,4,3622600105.0,Health Technology,Medical Specialties
IT,4,18517401649.0,Technology Services,Internet Software/Services
ISRG,8,159077535791.0,Health Technology,Medical Specialties
IRTC,5,5672477552.0,Health Technology,Medical Specialties
IRT,3,3879296667.0,Finance,Real Estate Investment Trusts
IRON,9,2459665000.0000005,Health Technology,Biotechnology
IRM,8,30996793273.0,Finance,Real Estate Investment Trusts
IREN,10,17312172735.999996,Technology Services,Data Processing Services
IRDM,9,2092566471.0,Communications,Specialty Telecommunications
IR,7,31192074684.0,Producer Manufacturing,Industrial Machinery
IQV,8,34510000000.0,Health Technology,Biotechnology
IQ,4,2262677656.0,Technology Services,Internet Software/Services
IPX,4,1815177565.49584,Non-Energy Minerals,Precious Metals
IPGP,5,3659200155.0,Electronic Technology,Semiconductors
IPG,7,9724372320.0,Commercial Services,Advertising/Marketing Services
IPAR,4,3018090863.0,Consumer Non-Durables,Household/Personal Care
IP,2,24508928890.0,Process Industries,Pulp & Paper
IOT,7,22985540339.000004,Technology Services,Packaged Software
IOSP,1,1894521830.0,Process Industries,Chemicals: Major Diversified
IONS,10,11200421573.0,Health Technology,Pharmaceuticals: Major
IONQ,7,23070386276.000004,Electronic Technology,Computer Processing Hardware
INVX,5,1257970891.0,Industrial Services,Oilfield Services/Equipment
INVH,4,17164230713.0,Finance,Real Estate Investment Trusts
INVA,7,1099716762.9999998,Health Technology,Pharmaceuticals: Major
INTU,6,179806911112.00003,Technology Services,Packaged Software
INTR,5,3768028858.000001,Finance,Major Banks
INTC,9,176535889406.00003,Electronic Technology,Semiconductors
INTA,4,3191184543.0,Technology Services,Packaged Software
INSW,7,2207166145.0,Transportation,Marine Shipping
INSP,4,2370085668.0,Health Technology,Medical Specialties
INSM,10,34750013590.0,Health Technology,Pharmaceuticals: Major
INOD,8,2921198931.0,Technology Services,Data Processing Services
INMD,4,1105287291.0000002,Health Technology,Medical Specialties
INGR,4,7672825947.0,Consumer Non-Durables,Food: Specialty/Candy
INGM,7,5093766358.0,Technology Services,Information Technology Services
ING,7,72101508262.35474,Finance,Major Banks
INFY,3,70557393463.96387,Technology Services,Information Technology Services
INFA,4,8691482411.0,Technology Services,Packaged Software
INDV,10,3013191134.0,Health Technology,Pharmaceuticals: Major
INDB,8,3428700578.9999995,Finance,Regional Banks
INCY,7,16549652721.0,Health Technology,Pharmaceuticals: Major
IMVT,3,3047058436.0,Health Technology,Biotechnology
IMTX,9,1324896816.0,Health Technology,Biotechnology
IMO,2,44841771658.82276,Energy Minerals,Integrated Oil
IMNM,6,1243873129.9999998,Health Technology,Biotechnology
IMKTA,9,1319524708.0,Retail Trade,Food Retail
IMCR,9,1700560931.0,Health Technology,Biotechnology
IMAX,6,1714048967.0,Consumer Durables,Electronics/Appliances
ILMN,6,14824364237.0,Health Technology,Medical Specialties
IIPR/PA,6,1495851722.0,Finance,Real Estate Investment Trusts
IIPR,6,1495851722.0,Finance,Real Estate Investment Trusts
IIIV,7,1028095868.0,Technology Services,Packaged Software
IHS,10,2237388777.0,Industrial Services,Engineering & Construction
IHG,6,18503702292.0253,Consumer Services,Hotels/Resorts/Cruise lines
IFS,8,4686022252.047761,Finance,Regional Banks
IFF,7,15415668184.000002,Consumer Non-Durables,Food: Specialty/Candy
IEX,9,12486396652.0,Producer Manufacturing,Industrial Machinery
IESC,5,7859985138.000001,Industrial Services,Engineering & Construction
IEP,4,4707777079.0,Energy Minerals,Oil Refining/Marketing
IE,4,1984289364.0,Non-Energy Minerals,Other Metals/Minerals
IDYA,9,2347974385.0,Health Technology,Pharmaceuticals: Major
IDXX,9,50302950144.0,Health Technology,Medical Specialties
IDT,5,1200980743.0,Communications,Major Telecommunications
IDCC,10,8987477746.0,Technology Services,Packaged Software
IDA,7,7269588807.0,Utilities,Electric Utilities
ICUI,5,2885513179.0,Health Technology,Medical Specialties
ICLR,7,14598607583.999998,Commercial Services,Miscellaneous Commercial Services
ICL,5,8673320471.000002,Process Industries,Chemicals: Agricultural
ICFI,4,1627235695.0000002,Commercial Services,Miscellaneous Commercial Services
ICE,6,91186991170.0,Finance,Investment Banks/Brokers
IBRX,3,2306421521.0,Health Technology,Pharmaceuticals: Major
IBP,7,6571451361.0,Industrial Services,Engineering & Construction
IBOC,4,4175666889.0,Finance,Regional Banks
IBN,2,110620301476.87604,Finance,Regional Banks
IBM,7,268491796765.0,Technology Services,Information Technology Services
IBKR,9,123158847556.58,Finance,Investment Banks/Brokers
IAS,6,1693206130.0000002,Technology Services,Packaged Software
IART,7,1103216766.9999998,Health Technology,Medical Specialties
IAG,9,7240508723.547255,Non-Energy Minerals,Precious Metals
IAC,5,2678054511.0,Technology Services,Internet Software/Services
HXL,9,5129449069.0,Electronic Technology,Aerospace & Defense
HWM/P,9,76122342281.0,Electronic Technology,Aerospace & Defense
HWM,9,76122342281.0,Electronic Technology,Aerospace & Defense
